Currency:SEK,Customer:filippak,Date Range:2021-08-21_2021-08-28,Include Discount:Include,Metric:Average price,Target Group:All Products,Category:Outerwear
Vendor,Aug 21,Aug 22,Aug 23,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28
Filippa K,4841.860465116279,4841.860465116279,4841.860465116279,4841.860465116279,4841.860465116279,4841.860465116279,4841.860465116279,4841.860465116279
Hugo Boss,3646.259493670886,3630.4367088607596,3643.9388185654007,3553.726513569937,3640.5821205821208,3644.7223382045927,3644.7223382045927,3645.326403326403
