Currency:SEK,Customer:filippak,Date Range:2021-08-21_2021-08-28,Include Discount:Include,Metric:Maximum price,Target Group:All Products,Category:Outerwear
Vendor,Aug 21,Aug 22,Aug 23,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28
Filippa K,8500,8500,8500,8500,8500,8500,8500,8500
Hugo Boss,20999,20999,20999,20999,20999,20999,20999,20999
